"...1" "AN_INICIO_OFERTA" "NM_REGIAO" "SG_UF" "SG_INSTITUICAO_ENSINO" "NM_IES" "DS_TIPO_CURSO" "NM_CURSO" "ST_FORMACAO_PROFESSORES" "NM_SITUACAO_OFERTA" "ID_POLO" "SG_REGIAO_POLO" "SG_UF_POLO" "NM_SITUACAO_POLO" "NM_POLO" "NM_MUNICIPIO_POLO" "QT_CADASTRADOS" "QT_CURSANDO" "QT_DESVINCULADO" "QT_FALECIDO" "QT_FORMADO" "QT_TRANCADO" "QT_DESISTENTE" "QT_RETIDO_TCC" "QT_TRANSFERIDO" "QT_NAO_CONCLUINTE" "QT_MATRICULA_CANCELADA" "COD_UF"
"1" 1 2017 "Sudeste" "MG" "IFNMG" "INSTITUTO FEDERAL DE EDUCA<c7><c3>O, CI<ca>NCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS" "Licenciatura" "PEDAGOGIA" "SIM" "Ativa" 638 "SE" "MG" "Ativo" "POMP<c9>U-MG MORADA DO SOL" "Pomp<e9>u" 55 38 5 0 0 0 12 0 0 0 0 31
"2" 2 2017 "Sudeste" "ES" "IFES" "INSTITUTO FEDERAL DE EDUCA<c7><c3>O, CI<ca>NCIA E TECNOLOGIA DO ESP<cd>RITO SANTO" "Licenciatura" "INFORMATICA" "SIM" "Ativa" 60 "SE" "ES" "Ativo" "DOMINGOS MARTINS-ES CENTRO" "Domingos Martins" 55 51 0 0 0 1 3 0 0 0 0 32
"3" 3 2017 "Nordeste" "MA" "UEMA" "UNIVERSIDADE ESTADUAL DO MARANH<c3>O" "Licenciatura" "FORMACAO PEDAGOGICA" "SIM" "Conclu<ed>da" 83 "NE" "MA" "Ativo" "IMPERATRIZ-MA UNI<c3>O" "Imperatriz" 29 0 0 0 19 0 0 10 0 0 0 21
"4" 4 2017 "Sul" "SC" "UFSC" "UNIVERSIDADE FEDERAL DE SANTA CATARINA" "Licenciatura" "FILOSOFIA" "SIM" "Ativa" 514 "S" "SC" "Ativo" "ITAJA<cd>-SC FAZENDA" "Itaja<ed>" 61 13 0 0 0 0 46 0 2 0 0 42
"5" 5 2017 "Nordeste" "MA" "UEMA" "UNIVERSIDADE ESTADUAL DO MARANH<c3>O" "Licenciatura" "PEDAGOGIA" "SIM" "A ser conclu<ed>da" 393 "NE" "MA" "Ativo" "CAROLINA-MA NOVA CAROLINA" "Carolina" 30 29 0 0 0 0 1 0 0 0 0 21
"6" 6 2017 "Nordeste" "CE" "IFCE" "INSTITUTO FEDERAL DE EDUCA<c7><c3>O, CI<ca>NCIA E TECNOLOGIA DO CEAR<c1>" "Licenciatura" "MATEMATICA" "SIM" "A ser conclu<ed>da" 47 "NE" "CE" "Ativo" "MERUOCA-CE CENTRO" "Meruoca" 34 28 1 0 0 0 5 0 0 0 0 23
"7" 7 2017 "Nordeste" "PI" "FUFPI" "FUNDA<c7><c3>O UNIVERSIDADE FEDERAL DO PIAU<cd>" "Bacharelado" "ADMINISTRACAO" "N<c3>O" "Ativa" 582 "NE" "PI" "Ativo" "MONSENHOR GIL-PI CENTRO" "Monsenhor Gil" 43 43 0 0 0 0 0 0 0 0 0 22
"8" 8 2017 "Nordeste" "PI" "FUFPI" "FUNDA<c7><c3>O UNIVERSIDADE FEDERAL DO PIAU<cd>" "Licenciatura" "GEOGRAFIA" "SIM" "A ser conclu<ed>da" 162 "NE" "PI" "Ativo" "GILBU<c9>S-PI SANTO ANT<d4>NIO" "Gilbu<e9>s" 51 49 2 0 0 0 0 0 0 0 0 22
"9" 9 2017 "Sudeste" "MG" "IFNMG" "INSTITUTO FEDERAL DE EDUCA<c7><c3>O, CI<ca>NCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS" "Especializa<e7><e3>o" "GESTAO EM SAUDE" "N<c3>O" "Conclu<ed>da" 533 "SE" "MG" "Ativo" "JANA<da>BA-MG VEREDAS" "Jana<fa>ba" 58 0 0 0 29 0 23 0 0 6 0 31
"10" 10 2017 "Sul" "SC" "UDESC" "UNIVERSIDADE DO ESTADO DE SANTA CATARINA" "Bacharelado" "ADMINISTRACAO PUBLICA" "N<c3>O" "Ativa" 877 "S" "SC" "Ativo" "CA<c7>ADOR-SC CENTRO" "Ca<e7>ador" 41 16 19 0 0 0 6 0 0 0 0 42
